Season,Team,Wins,Points,P%,RW,ROW,S/OW,GF,GA,GF/GP,GA/GP,PP%,PK%,NetPP%,NetPK%,Shots/GP,SA/GP,FOW%,Winner
2004,Anaheim Ducks,29,76,.463,25,29,0,184,213,2.24,2.60,18.1,84.7,16.8,86.1,29.7,29.8,55.3,Tampa Bay Lightning
2004,Arizona Coyotes,22,68,.415,17,22,0,188,245,2.29,2.99,14.3,82.2,12.0,84.4,26.5,30.6,48.9,Tampa Bay Lightning
2004,Boston Bruins,41,104,.634,33,41,0,209,188,2.55,2.29,16.0,83.6,11.7,85.7,30.5,27.8,52.1,Tampa Bay Lightning
2004,Buffalo Sabres,37,85,.518,35,37,0,220,221,2.68,2.70,15.8,84.8,13.4,86.8,28.1,28.5,50.3,Tampa Bay Lightning
2004,Calgary Flames,42,94,.573,39,42,0,200,176,2.44,2.15,15.1,84.7,14.6,87.9,27.4,25.5,50.7,Tampa Bay Lightning
2004,Carolina Hurricanes,28,76,.463,23,28,0,172,209,2.10,2.55,10.7,81.6,8.3,84.1,29.2,26.2,54.9,Tampa Bay Lightning
2004,Chicago Blackhawks,20,59,.360,16,20,0,188,259,2.29,3.16,15.8,83.5,11.8,84.8,29.3,30.7,49.4,Tampa Bay Lightning
2004,Colorado Avalanche,40,100,.610,32,40,0,236,198,2.88,2.41,20.4,83.8,16.5,85.7,29.4,28.4,50.0,Tampa Bay Lightning
2004,Columbus Blue Jackets,25,62,.378,19,25,0,177,238,2.16,2.90,14.5,85.2,11.0,86.7,27.8,32.0,47.8,Tampa Bay Lightning
2004,Dallas Stars,41,97,.591,38,41,0,194,175,2.37,2.13,15.9,85.9,12.5,87.5,26.8,23.2,51.4,Tampa Bay Lightning
2004,Detroit Red Wings,48,109,.665,41,48,0,255,189,3.11,2.30,20.1,86.8,18.5,91.5,30.3,26.2,52.5,Tampa Bay Lightning
2004,Edmonton Oilers,36,89,.543,30,36,0,221,208,2.70,2.54,13.0,81.1,10.7,84.8,28.4,26.5,50.9,Tampa Bay Lightning
2004,Florida Panthers,28,75,.457,23,28,0,188,221,2.29,2.70,16.8,86.4,12.9,88.2,27.7,34.5,46.1,Tampa Bay Lightning
2004,Los Angeles Kings,28,81,.494,26,28,0,205,217,2.50,2.65,14.0,80.7,12.9,83.3,28.6,27.0,51.1,Tampa Bay Lightning
2004,Minnesota Wild,30,83,.506,29,30,0,188,183,2.29,2.23,13.6,84.5,11.5,86.9,24.2,29.1,46.7,Tampa Bay Lightning
2004,Montreal Canadiens,41,93,.567,36,41,0,208,192,2.54,2.34,17.2,82.5,15.4,84.1,27.7,28.6,51.7,Tampa Bay Lightning
2004,Nashville Predators,38,91,.555,31,38,0,216,217,2.63,2.65,16.9,81.8,15.0,85.8,27.2,28.5,48.9,Tampa Bay Lightning
2004,New Jersey Devils,43,100,.610,36,43,0,213,164,2.60,2.00,16.4,85.3,14.7,88.4,29.7,24.4,49.2,Tampa Bay Lightning
2004,New York Islanders,38,91,.555,36,38,0,237,210,2.89,2.56,16.7,85.5,15.2,88.6,28.5,27.4,49.3,Tampa Bay Lightning
2004,New York Rangers,27,69,.421,24,27,0,206,250,2.51,3.05,14.3,79.4,11.8,80.9,29.5,29.2,51.4,Tampa Bay Lightning
2004,Ottawa Senators,43,102,.622,40,43,0,262,189,3.20,2.30,21.6,83.6,19.4,85.3,29.5,24.9,47.1,Tampa Bay Lightning
2004,Philadelphia Flyers,40,101,.616,38,40,0,229,186,2.79,2.27,20.7,83.3,19.8,85.3,29.4,25.5,50.3,Tampa Bay Lightning
2004,Pittsburgh Penguins,23,58,.354,16,23,0,190,303,2.32,3.70,18.1,77.2,13.9,79.1,24.7,33.2,47.2,Tampa Bay Lightning
2004,San Jose Sharks,43,104,.634,40,43,0,219,183,2.67,2.23,16.6,85.3,14.0,88.1,28.0,28.9,48.5,Tampa Bay Lightning
2004,St. Louis Blues,39,91,.555,28,39,0,191,198,2.33,2.41,17.9,84.6,14.7,86.5,27.1,25.6,49.9,Tampa Bay Lightning
2004,Tampa Bay Lightning,46,106,.646,42,46,0,245,192,2.99,2.34,16.2,84.9,15.0,90.3,30.0,25.4,50.0,Tampa Bay Lightning
2004,Toronto Maple Leafs,45,103,.628,41,45,0,242,204,2.95,2.49,20.1,83.4,18.0,85.5,27.5,26.4,52.1,Tampa Bay Lightning
2004,Vancouver Canucks,43,101,.616,32,43,0,235,194,2.87,2.37,15.0,86.0,12.8,87.4,29.0,26.6,51.2,Tampa Bay Lightning
2004,Washington Capitals,23,59,.360,22,23,0,186,253,2.27,3.09,19.2,81.3,17.7,82.3,23.7,31.5,49.0,Tampa Bay Lightning
2004,Winnipeg Jets,33,78,.476,27,33,0,214,243,2.61,2.96,14.7,85.2,13.0,88.0,26.1,29.4,46.7,Tampa Bay Lightning
